Date,Close,Change
3/2/15,99.4,
3/3/15,98.28,-1.12
3/4/15,98.56,0.28
3/5/15,99.24,0.68
3/6/15,96.61,-2.63
3/9/15,96.58,-0.03
3/10/15,94.57,-2.01
3/11/15,94.63,0.06
3/12/15,96.27,1.64
3/13/15,94.24,-2.03
3/16/15,94.61,0.37
3/17/15,94.12,-0.49
3/18/15,95.51,1.39
3/19/15,94.59,-0.92
3/20/15,97.69,3.1
3/23/15,97.64,-0.05
3/24/15,97.16,-0.48
3/25/15,95.47,-1.69
3/26/15,95.2,-0.27
3/27/15,96.04,0.84
3/30/15,96.16,0.12
3/31/15,94.15,-2.01
4/1/15,96.46,2.31
4/2/15,96.78,0.32
4/6/15,98.04,1.26
4/7/15,96.87,-1.17
4/8/15,96.53,-0.34
4/9/15,95.34,-1.19
4/10/15,95.07,-0.27
4/13/15,94.78,-0.29
4/14/15,94.5,-0.28
4/15/15,95.17,0.67
4/16/15,96.76,1.59
4/17/15,96.1,-0.66
4/20/15,95.84,-0.26
4/21/15,94.98,-0.86
4/22/15,95.92,0.94
4/23/15,96.04,0.12
4/24/15,95.32,-0.72
4/27/15,95.19,-0.13
4/28/15,95.76,0.57
4/29/15,93.51,-2.25
4/30/15,94.53,1.02
5/1/15,93.48,-1.05
5/4/15,94.64,1.16
5/5/15,93,-1.64
5/6/15,92.86,-0.14
5/7/15,93.63,0.77
5/8/15,94.95,1.32
5/11/15,93.65,-1.3
5/12/15,93.6,-0.05
5/13/15,92.94,-0.66
5/14/15,94.81,1.87
5/15/15,95.51,0.7
5/18/15,95.2,-0.31
5/19/15,95.45,0.25
5/20/15,94.32,-1.13
5/21/15,93.9,-0.42
5/22/15,94.35,0.45
5/26/15,94.61,0.26
5/27/15,95.16,0.55
5/28/15,94.6,-0.56
5/29/15,92.79,-1.81
6/1/15,94.23,1.44
6/2/15,94.15,-0.08
6/3/15,92.68,-1.47
6/4/15,94.67,1.99
6/5/15,92.52,-2.15
6/8/15,92.83,0.31
6/9/15,92.07,-0.76
6/10/15,92.7,0.63
6/11/15,93.42,0.72
6/12/15,93.2,-0.22
6/15/15,92.26,-0.94
6/16/15,93.26,1
6/17/15,94.12,0.86
6/18/15,96.18,2.06
6/19/15,95.97,-0.21
6/22/15,95.79,-0.18
6/23/15,96.25,0.46
6/24/15,95.08,-1.17
6/25/15,94.74,-0.34
6/26/15,94.24,-0.5
6/29/15,92.94,-1.3
6/30/15,93.29,0.35
7/1/15,94.01,0.72
7/2/15,94.91,0.9
7/6/15,94.98,0.07
7/7/15,95.63,0.65
7/8/15,94.48,-1.15
7/9/15,94.39,-0.09
7/10/15,95.42,1.03
7/13/15,95.7,0.28
7/14/15,95.48,-0.22
7/15/15,95.95,0.47
7/16/15,97.82,1.87
7/17/15,96.95,-0.87
7/20/15,97.06,0.11
7/21/15,96.95,-0.11
7/22/15,96.54,-0.41
7/23/15,98,1.46
7/24/15,96.79,-1.21
7/27/15,96.48,-0.31
7/28/15,96.68,0.2
7/29/15,96.32,-0.36
7/30/15,94.95,-1.37
7/31/15,95.11,0.16
8/3/15,95.36,0.25
8/4/15,96.12,0.76
8/5/15,96.64,0.52
8/6/15,98.36,1.72
8/7/15,99.65,1.29
8/10/15,100.49,0.84
8/11/15,101,0.51
8/12/15,99.97,-1.03
8/13/15,100.25,0.28
8/14/15,101.08,0.83
8/17/15,101.45,0.37
8/18/15,100.49,-0.96
8/19/15,100.4,-0.09
8/20/15,98.85,-1.55
8/21/15,96.7,-2.15
8/24/15,91.94,-4.76
8/25/15,89.51,-2.43
8/26/15,91.53,2.02
8/27/15,93.87,2.34
8/28/15,93.45,-0.42
8/31/15,92.19,-1.26
9/1/15,90.03,-2.16
9/2/15,91.17,1.14
9/3/15,91.02,-0.15
9/4/15,89.02,-2
9/8/15,90.05,1.03
9/9/15,88.7,-1.35
9/10/15,88.32,-0.38
9/11/15,89.26,0.94
9/14/15,88.83,-0.43
9/15/15,89.55,0.72
9/16/15,90.6,1.05
9/17/15,91.52,0.92
9/18/15,90.49,-1.03
9/21/15,90.39,-0.1
9/22/15,89.05,-1.34
9/23/15,88.71,-0.34
9/24/15,88.03,-0.68
9/25/15,88.84,0.81
9/28/15,87.21,-1.63
9/29/15,87.01,-0.2
9/30/15,87.98,0.97
10/1/15,88.38,0.4
10/2/15,89.74,1.36
10/5/15,93.46,3.72
10/6/15,93.37,-0.09
