Date,Close,Change
7/1/15,28.5,
7/2/15,28,-0.5
7/6/15,26.69,-1.31
7/7/15,27.01,0.32
7/8/15,26.25,-0.76
7/9/15,26.66,0.41
7/10/15,29.28,2.62
7/13/15,30.96,1.68
7/14/15,31.96,1
7/15/15,30.69,-1.27
7/16/15,30.95,0.26
7/17/15,30.6,-0.35
7/20/15,29.89,-0.71
7/21/15,30.5,0.61
7/22/15,31.09,0.59
7/23/15,30.54,-0.55
7/24/15,32.15,1.61
7/27/15,31.31,-0.84
7/28/15,30.83,-0.48
7/29/15,31.57,0.74
7/30/15,30.91,-0.66
7/31/15,31.57,0.66
8/3/15,33.2,1.63
8/4/15,34.82,1.62
8/5/15,33.06,-1.76
8/6/15,32.07,-0.99
8/7/15,30.83,-1.24
8/10/15,30.47,-0.36
8/11/15,28.76,-1.71
8/12/15,28.51,-0.25
8/13/15,29.79,1.28
8/14/15,28.52,-1.27
8/17/15,29.23,0.71
8/18/15,28.3,-0.93
8/19/15,26.85,-1.45
8/20/15,26.5,-0.35
8/21/15,25.64,-0.86
8/24/15,23.88,-1.76
8/25/15,23.2,-0.68
8/26/15,25.28,2.08
8/27/15,26.13,0.85
8/28/15,27.72,1.59
8/31/15,25.74,-1.98
9/1/15,22.85,-2.89
9/2/15,22.15,-0.7
9/3/15,22.41,0.26
9/4/15,20.82,-1.59
9/8/15,20.53,-0.29
9/9/15,22.56,2.03
9/10/15,22.98,0.42
9/11/15,23.5,0.52
9/14/15,23.07,-0.43
9/15/15,22.99,-0.08
9/16/15,22.06,-0.93
9/17/15,22.15,0.09
9/18/15,21.96,-0.19
9/21/15,22.24,0.28
9/22/15,24.5,2.26
9/23/15,24.46,-0.04
9/24/15,24.33,-0.13
9/25/15,22.35,-1.98
9/28/15,20.63,-1.72
9/29/15,21,0.37
9/30/15,22.29,1.29
10/1/15,22.81,0.52
10/2/15,18.24,-4.57
10/5/15,17.49,-0.75
10/6/15,16.64,-0.85
10/7/15,16.23,-0.41
10/8/15,16.8,0.57
10/9/15,17.25,0.45
10/12/15,18.03,0.78
10/13/15,18,-0.03
10/14/15,18.08,0.08
10/15/15,18.12,0.04
10/16/15,18,-0.12
